concessionaria;ano;valor
CCR PONTE;2013;150342000
VIA 040;2013;
VIA SUL;2013;
ECOVIAS DO CERRADO;2013;
VIACOSTEIRA;2013;
CONCEPA;2014;267479000
NOVADUTRA;2014;1150439000
CONCER;2014;249588000
CRT;2014;184087000
ECOSUL;2014;181922000
AUTOPISTA PLANALTO SUL;2014;115028000
AUTOPISTA LITORAL SUL;2014;217684000
AUTOPISTA REGIS BITTENCOURT;2014;267148000
AUTOPISTA FLUMINENSE;2014;165004000
TRANSBRASILIANA;2014;96640000
RODOVIA DO AÇO;2014;78579000
AUTOPISTA FERNÃO DIAS;2014;247025000
VIA BAHIA;2014;232367000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2014;111553000
MGO;2014;
CONCEBRA;2014;
CRO;2014;
MSVIA;2014;
CCR PONTE;2014;154411000
VIA 040;2014;
VIA SUL;2014;
ECOVIAS DO CERRADO;2014;
VIACOSTEIRA;2014;
CONCEPA;2015;285943000
NOVADUTRA;2015;1168369000
CONCER;2015;255592000
CRT;2015;194426000
ECOSUL;2015;199019000
AUTOPISTA PLANALTO SUL;2015;109116000
AUTOPISTA LITORAL SUL;2015;223440000
AUTOPISTA REGIS BITTENCOURT;2015;267866000
AUTOPISTA FLUMINENSE;2015;172822000
TRANSBRASILIANA;2015;93270000
RODOVIA DO AÇO;2015;78482000
AUTOPISTA FERNÃO DIAS;2015;242129000
VIA BAHIA;2015;239830000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2015;182936000
MGO;2015;111421000
CONCEBRA;2015;184987000
CRO;2015;122414000
MSVIA;2015;89119000
ECOPONTE;2015;63067000
VIA 040;2015;136867000
VIA SUL;2015;
ECOVIAS DO CERRADO;2015;
VIACOSTEIRA;2015;
CONCEPA;2016;328176000
NOVADUTRA;2016;1210658000
CONCER;2016;276577000
CRT;2016;200324000
ECOSUL;2016;257764000
AUTOPISTA PLANALTO SUL;2016;122770000
AUTOPISTA LITORAL SUL;2016;263932000
AUTOPISTA REGIS BITTENCOURT;2016;317348000
AUTOPISTA FLUMINENSE;2016;184300000
TRANSBRASILIANA;2016;103408000
RODOVIA DO AÇO;2016;87876000
AUTOPISTA FERNÃO DIAS;2016;262593000
VIA BAHIA;2016;245896000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2016;179808000
MGO;2016;181904000
CONCEBRA;2016;350691000
CRO;2016;376182000
MSVIA;2016;291888000
ECOPONTE;2016;111857000
VIA 040;2016;309279000
VIA SUL;2016;
ECOVIAS DO CERRADO;2016;
VIACOSTEIRA;2016;
CONCEPA;2017;282215000
NOVADUTRA;2017;1297371000
CONCER;2017;284757000
CRT;2017;247587000
ECOSUL;2017;290721000
AUTOPISTA PLANALTO SUL;2017;142144000
AUTOPISTA LITORAL SUL;2017;316308000
AUTOPISTA REGIS BITTENCOURT;2017;398551000
AUTOPISTA FLUMINENSE;2017;199263000
TRANSBRASILIANA;2017;111924000
RODOVIA DO AÇO;2017;105388000
AUTOPISTA FERNÃO DIAS;2017;315822000
VIA BAHIA;2017;306823000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2017;199122000
MGO;2017;205741000
CONCEBRA;2017;385482000
CRO;2017;400248000
MSVIA;2017;269313000
ECOPONTE;2017;121809000
VIA 040;2017;333095000
VIA SUL;2017;
ECOVIAS DO CERRADO;2017;
VIACOSTEIRA;2017;
CONCEPA;2018;103017000
NOVADUTRA;2018;1350917000
CONCER;2018;275258000
CRT;2018;259197000
ECOSUL;2018;311837000
AUTOPISTA PLANALTO SUL;2018;159449000
AUTOPISTA LITORAL SUL;2018;337724000
AUTOPISTA REGIS BITTENCOURT;2018;423290000
AUTOPISTA FLUMINENSE;2018;215286000
TRANSBRASILIANA;2018;122377000
RODOVIA DO AÇO;2018;111808000
AUTOPISTA FERNÃO DIAS;2018;346037000
VIA BAHIA;2018;346035000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2018;203069000
MGO;2018;223012000
CONCEBRA;2018;387202000
CRO;2018;424502000
MSVIA;2018;293626000
ECOPONTE;2018;124180000
VIA 040;2018;351973000
VIA SUL;2018;
ECOVIAS DO CERRADO;2018;
VIACOSTEIRA;2018;
CONCEPA;2019;
NOVADUTRA;2019;1429118000
CONCER;2019;275795000
CRT;2019;271598000
ECOSUL;2019;337770000
AUTOPISTA PLANALTO SUL;2019;180202000
AUTOPISTA LITORAL SUL;2019;357701000
AUTOPISTA REGIS BITTENCOURT;2019;455938000
AUTOPISTA FLUMINENSE;2019;230336000
TRANSBRASILIANA;2019;122988000
RODOVIA DO AÇO;2019;113711000
AUTOPISTA FERNÃO DIAS;2019;370084000
VIA BAHIA;2019;350968000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2019;192158000
ECO050;2019;228161000
CONCEBRA;2019;383225000
CRO;2019;441113000
MSVIA;2019;291394000
ECOPONTE;2019;126477000
VIA 040;2019;374429000
VIA SUL;2019;160148000
ECOVIAS DO CERRADO;2019;
VIACOSTEIRA;2019;
CONCEPA;2020;
NOVADUTRA;2020;1322256000
CONCER;2020;242292000
CRT;2020;227358000
ECOSUL;2020;315716000
AUTOPISTA PLANALTO SUL;2020;175726000
AUTOPISTA LITORAL SUL;2020;376632000
AUTOPISTA REGIS BITTENCOURT;2020;462287000
AUTOPISTA FLUMINENSE;2020;236706000
TRANSBRASILIANA;2020;122491000
RODOVIA DO AÇO;2020;107613000
AUTOPISTA FERNÃO DIAS;2020;352921000
VIA BAHIA;2020;350971000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2020;178219000
ECO050;2020;231250000
CONCEBRA;2020;305698000
CRO;2020;455363000
MSVIA;2020;292320000
ECOPONTE;2020;107454000
VIA 040;2020;372227000
VIA SUL;2020;362890000
ECOVIAS DO CERRADO;2020;12708000
VIACOSTEIRA;2020;0
CONCEPA;2021;
NOVADUTRA;2021;728074000
CONCER;2021;268975000
CRT;2021;248817000
ECOSUL;2021;355286000
AUTOPISTA PLANALTO SUL;2021;194853000
AUTOPISTA LITORAL SUL;2021;573096000
AUTOPISTA REGIS BITTENCOURT;2021;531950000
AUTOPISTA FLUMINENSE;2021;261464000
TRANSBRASILIANA;2021;172819000
RODOVIA DO AÇO;2021;104008000
AUTOPISTA FERNÃO DIAS;2021;383448000
VIA BAHIA;2021;351550000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2021;196635000
ECO050;2021;260162000
CONCEBRA;2021;262104000
CRO;2021;496930000
MSVIA;2021;231964000
ECOPONTE;2021;132358000
VIA 040;2021;414915000
VIA SUL;2021;421379000
ECOVIAS DO CERRADO;2021;160847000
VIACOSTEIRA;2021;109884000
NOVADUTRA;2022;97263000
CONCER;2022;289706000
CRT;2022;200308000
ECOSUL;2022;421773000
AUTOPISTA PLANALTO SUL;2022;226487000
AUTOPISTA LITORAL SUL;2022;596053000
AUTOPISTA REGIS BITTENCOURT;2022;581039000
AUTOPISTA FLUMINENSE;2022;220755000
TRANSBRASILIANA;2022;193220000
RODOVIA DO AÇO;2022;102882000
AUTOPISTA FERNÃO DIAS;2022;418543000
VIA BAHIA;2022;360977000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2022;224667000
ECO050;2022;327046000
CONCEBRA;2022;274211000
CRO;2022;519700000
MSVIA;2022;164251000
ECOPONTE;2022;155385000
VIA 040;2022;455040000
VIA SUL;2022;470194000
ECOVIAS DO CERRADO;2022;174788000
VIACOSTEIRA;2022;179695000
RIOSP;2022;970415000
ECO RIOMINAS;2022;70670000
ECOVIAS DO ARAGUAIA;2022;116719000
VIABRASIL;2022;0
CONCER;2023;317061000
ECOSUL;2023;525912000
AUTOPISTA PLANALTO SUL;2023;244998000
AUTOPISTA LITORAL SUL;2023;735401000
AUTOPISTA REGIS BITTENCOURT;2023;626475000
AUTOPISTA FLUMINENSE;2023;182369000
TRANSBRASILIANA;2023;210812000
RODOVIA DO AÇO;2023;113834000
AUTOPISTA FERNÃO DIAS;2023;481537000
VIA BAHIA;2023;426808000
ECO101 CONCESSIONARIA DE RODOVIAS S/A;2023;241220000
ECO050;2023;376309000
CONCEBRA;2023;335651000
CRO;2023;653510000
MSVIA;2023;179458000
ECOPONTE;2023;175425000
VIA 040;2023;518192000
VIA SUL;2023;547683000
ECOVIAS DO CERRADO;2023;202933000
VIACOSTEIRA;2023;204796000
RIOSP;2023;1190589000
ECO RIOMINAS;2023;596823000
ECOVIAS DO ARAGUAIA;2023;520574000
VIABRASIL;2023;331433000
CONCER;2024;374229000
ECOVIAS SUL;2024;599832000
AUTOPISTA PLANALTO SUL;2024;288900000
AUTOPISTA LITORAL SUL;2024;836443000
AUTOPISTA REGIS BITTENCOURT;2024;701917000
AUTOPISTA FLUMINENSE;2024;241531000
TRANSBRASILIANA;2024;231810000
RODOVIA DO AÇO;2024;109806000
AUTOPISTA FERNÃO DIAS;2024;540439000
VIA BAHIA;2024;483721000
ECOVIAS 101 ;2024;242958000
ECOVIAS MINAS GOIAS - ECO050;2024;406192000
CONCEBRA;2024;692471000
CRO;2024;726015000
CCR MSVIA;2024;229276000
ECOVIAS PONTE;2024;179375000
VIA 040;2024;310159000
VIA SUL;2024;535920000
ECOVIAS CERRADO;2024;215589000
VIACOSTEIRA;2024;212680000
CCR RIOSP;2024;1342169000
ECOVIAS RIOMINAS;2024;1024236000
ECOVIAS ARAGUAIA;2024;571324000
VIABRASIL;2024;576824000
LITORAL PIONEIRO;2024;577649000
VIA ARAUCÁRIA;2024;443809000
VIA MINEIRA;2024;158238000
